number,mainstory,name,centercharacterimage,rightcenterimage,leftcenterimage,backimage,stillimage,charactercolor,bgm_state,bgm_num,se_num,selectdisp,selectbutton_num,monthimage,selectbuttontext3,selectbuttontext1,selectbuttontext2,textcolor
1,待ちに待った転校初日！,えみ,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0
2,今日から通う織路原(おじはら)学園ってどんな学園なんだろう？,えみ,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
3,転校初日っていうと私が大好きな乙女ゲームではイケメンと出会うのが基本だよね！,えみ,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
4,ひょっとしてこの学園への転校も沢山のイケメンと出会えるチャンスだったりして……？！,えみ,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
5,「キャー！」,女子生徒たち,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,4
6,中庭のほうから女子生徒たちの悲鳴が聞こえてきた。,えみ,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
7,「キャー！OG☆３よ！」,女子生徒たち,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,4
8,「あの……OG☆３ってなんのことですか？」,えみ,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
9,「あなた知らないの？！あの３人がOG☆３よ！！」,女子生徒A,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,4
10,女の子の指す方をみるとそこには大勢の女子に囲まれた３人のイケメンが見えた。,えみ,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
11,「真ん中にいるのがスポーツ推薦で入ってきた１年生の本田琉絆空(るきあ)くん。他の２人とは幼馴染でよく一緒にいるみたい。」,女子生徒A,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,4
12,「朝からキャーキャー言ってて本当女子って元気だよな～。」,本田 琉絆空,12,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2
13,「その横にいる七三分けで頭のよさそうな人がいるでしょう？その人が生徒会長の目鏡(めがね)光くん。」,女子生徒A,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,4
14,「なんで僕らは日頃からこんなに囲まれてるんだ……。もうすぐ模試があるのに皆勉強しなくていいのか？」,目鏡 光,8,0,0,3,0,0,0,1,0,0,0,0,0,0,0,3
15,「小柄でかわいい見た目の犬山桜児(おうじ)くんは２年生！名前通り演劇部でよく王子役をやってるんだって。」,女子生徒A,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,4
16,「やっほ～！みんな元気～？」,犬山 桜児,7,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1
17,こ、ここは天国……？！転校初日から本当に乙女ゲームみたいなシチュエーションになっちゃった！,えみ,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
18,この３人とお近づきになれたらいいな～。えへへ。えへへへへ。,えみ,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
19,ドン！,,0,0,0,24,0,0,2,0,1,0,0,0,0,0,0,4
20,「おい……て……か？」,???,0,0,0,24,0,0,1,2,0,0,0,0,0,0,0,4
21,何か声が聞こえる……？,えみ,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,0
22,「おい、お…てい……か？」,???,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,4
23,私は一体何をしててこうなったんだっけ。乙女ゲームみたいな展開に浮かれて、それで……,えみ,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,0
24,「聞こえているのかと言っているんだ！」,???,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,4
25,「ヴェ？！」,えみ,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,0
26,「銅像が喋った？？？！！」,えみ,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,0
27,「暇だから暖かな春の空気を満喫しておったらなんじゃその肩パンは！創立者に向かって肩パンて！」,銅像,24,0,0,24,0,0,0,2,0,0,0,0,0,0,0,4
28,「いや肩パンしたつもりは……」,えみ,24,0,0,24,0,0,0,2,0,0,0,0,0,0,0,0
29,「うるさい！」,銅像,24,0,0,24,0,0,0,2,0,0,0,0,0,0,0,4
30,「ﾋｴｯ！」,えみ,24,0,0,24,0,0,0,2,0,0,0,0,0,0,0,0
31,「どうせイケメンと乙女ゲームみたいな展開になるのを想像して周りが見えてなかったのじゃろう！」,銅像,24,0,0,24,0,0,0,2,0,0,0,0,0,0,0,4
32,「ｷﾞｸｯ」,えみ,24,0,0,24,0,0,0,2,0,0,0,0,0,0,0,0
33,「そんなお調子者にはわしの暇つぶしとしてOG☆３のイケメンたち３人とも,銅像,24,0,0,24,0,0,0,2,0,0,0,0,0,0,0,4
34,個性的なおじさんに見えちゃう呪いにかけてやるもんねェ？！」,銅像,24,0,0,24,0,0,0,2,0,0,0,0,0,0,0,4
35,「な、なにそれ？！じゃあイケメン達とすごくドキドキライフ？する未来は消えたってこと？」,えみ,24,0,0,24,0,0,0,2,0,0,0,0,0,0,0,0
36,「その自信はどこからきとるんじゃ……まあいい。２月のバレンタインまでにおじさん化したOG☆３と愛を育み両思いになれ！,銅像,24,0,0,24,0,0,0,2,0,0,0,0,0,0,0,4
37,そのときはまた、わしがおじさんに見える呪いを解いて見せよう！,銅像,24,0,0,24,0,0,0,2,0,0,0,0,0,0,0,4
38,わしの暇つぶしコンテンツとして１年頑張るがよいぞ！ふぉふぉふぉ！」,銅像,24,0,0,24,0,0,0,2,0,0,0,0,0,0,0,4
39,最悪……きっとこれは悪い夢だ、そうに違いない,えみ,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,0
40,「おい大丈夫か？！」,???,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,4
41,「息はある様だが……」,???,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,4
42,「起きて？！うーん、返事がないねぇ……」,???,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,4
43,                                      ,,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0
43,「ぎゃーーーー！！！お・じ・さ・ん？！！！！」,えみ,0,0,0,30,0,0,0,3,0,0,0,0,0,0,0,0
44,「この僕に向かっておじさん……だと？！」,目鏡 光,11,6,5,3,0,2,0,3,0,0,0,0,0,0,0,3
45,「この子、まだ寝ぼけてるのかもね」,犬山 桜児,11,6,5,3,0,3,0,3,0,0,0,0,0,0,0,1
46,「はは、こいつおもしれ～！」,本田 琉絆空,11,6,5,3,0,1,0,3,0,0,0,0,0,0,0,2
47,転校初日からとんでもない目にあっちゃった……。私、イケメン達とドキドキ？トキメキライフする予定だったのに、,えみ,11,6,5,3,0,0,0,3,0,0,0,0,0,0,0,0
48,これからこのおじさん達とシワシワ？ドギマギライフをおくんなきゃいけないの？？,えみ,11,6,5,3,0,0,0,3,0,0,0,0,0,0,0,0
49,                           ,5月,0,0,0,0,0,0,2,0,2,0,0,5,0,0,0,4
50,あれから数週間たったけど、未だにおじさんになったOG☆３に慣れないよ......。,えみ,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
51,バレンタインまでに OG☆３の誰かと両思いかぁ。,えみ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52,それを達成しないと３人が一生おじさんに見える呪いにかけてやるって言われたときは冗談だと思ったけど,えみ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,数週間たってもおじさんに見えてるから本当なんだろうな......。,えみ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,ていうかそろそろ誰かと仲良くならないとまずいぞ！どうしよう......。 ,えみ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,「おい、大丈夫か？さっきからボーっとしているぞ。」,目鏡 光,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
56,「ハッ！ごめんなさい、考え事をしてて......。」,えみ,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,OG☆３の３人は4月のあの日からなにかと気にかけてくれていて、幸い接点は途切れていない。OG☆３は見た目だけじゃなくて中身も優しいんだな～。今は見た目おじさんだけど！！,えみ,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,「あの日銅像にぶつかって以来、ボーっとしていることが増えたと言っていたが......本当に大丈夫か？」,目鏡 光,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
58,「心配してくれてありがとうございます、光先輩！ ……でも、授業中もぼんやりすることが多くて内容がなかなか頭に入らないんですよね。」,えみ,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
59,「それは心配だな......。放課後勉強をみてやろう。」,目鏡 光,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
60,教室,,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4
61,「......じゃあここをこうして、こうすれば......！」,えみ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,「正解だ。今日はここまでにしようか。」 ,目鏡 光,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
62,「助かりました！ありがとうございます。」,えみ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,「ああ。困っている生徒を助けるのは生徒会長の務めだからな。」,目鏡 光,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
64,光先輩、勉強教えるのが上手くて早めに終われたな。これからどうしよう?,えみ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,                ,,6,0,0,0,0,0,0,0,0,1,2,0,0,ショッピングに誘う,帰る,4
65,やっぱりせっかくのチャンスだし光先輩を誘って仲良くなるべきだよね！,えみ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,「光先輩、これから時間空いてますか？商店街で買いたいものがあって。」,えみ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,「ああ。いいぞ。僕も行きたい所があったんだ」,目鏡 光,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
68,光先輩が行きたい所ってどこなんだろう？,えみ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,                ,,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4
70,「え、ここ……ですか？」,えみ,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
71,「ここだ。」,目鏡 光,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3
72,目の前にあるのは女子高生御用達のファンシーショップだ。,えみ,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
73,「光先輩って意外とかわいいものが好きなんですね。」,えみ,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
74,「別に僕がかわいい物好きな訳ではないからな。,目鏡 光,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3
75,年の離れた妹に誕生日プレゼントを買いにきただけだ、勘違いしないでくれ。」,目鏡 光,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3
76,ちょっとムキになっているようにみえるのは気のせい？,えみ,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
76,「これもかわいいな……ぬいぐるみも捨て難いし……こっちの限定コラボのお菓子もいいな。」,目鏡 光,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3
77,さっきから私そっちのけで真剣に悩んでるな,えみ,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
78,かまって欲しいからイタズラしちゃえ！,えみ,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
79,「光先輩！」,えみ,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
80,           ,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
81,「な、なんだ？！」,目鏡 光,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,3
82,「かわいい〜！その帽子似合ってますよ。」,えみ,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
83,「先輩に対してなにを……ってこれ持ってるぞ。かわいいよな、これ」,目鏡 光,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3
84,「もってるんですか？！やっぱり光先輩ってかわいいものが好きなんですね。」,えみ,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
85,「勘違いしないでくれ。妹からもらっただけだからな！」,目鏡 光,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3
86,やっぱりかわいい物好きを否定しているときの光先輩はムキになっているような気がする。,えみ,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
87,「今日は本当にありがとうございました。」,えみ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,「お疲れ様。」,目鏡 光,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
89,今日は早く帰って教えてもらったところを復習しよう。,えみ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,夜, ,0,0,0,12,0,0,,,,,,,,,,
91,あれ？イ〇スタのフォローリクエストがきてる。めずらしいな、どんな人だろう？,えみ,0,0,0,12,0,0,,,,,,,,,,
92,………………？！,えみ,0,0,0,12,0,0,,,,,,,,,,
93,ヒィ〜〜！！！おじさんの自撮りだらけ？！,えみ,0,0,0,12,0,0,,,,,,,,,,
94,フォロワーも沢山いるし謎……あ、よく見るとおじさんになった桜児(おうじ)くんだ！,えみ,0,0,0,12,0,0,,,,,,,,,,
95,おじさんに見える呪いって現実だけじゃなくて写真にもかかってるんだ……。,えみ,0,0,0,12,0,0,,,,,,,,,,
96,それはともかく、桜児くんってもうすぐ誕生日か。,えみ,0,0,0,12,0,0,,,,,,,,,,
97,おじさんに見える呪いを解くためにもお誕生日お祝いして親愛度上げないと！,えみ,0,0,0,12,0,0,,,,,,,,,,
98,あ！桜児くんからDMきてる。,えみ,0,0,0,12,0,0,,,,,,,,,,
99,「[主人公の名前]ちゃんだよね？イ〇スタでもよろしくねっ！」,犬山 桜児,0,0,0,12,0,0,,,,,,,,,,
100,桜児くんイ〇スタでも気さくだなー。誕生日のこと聞いてみよう。,えみ,0,0,0,12,0,0,,,,,,,,,,
101,「桜児くんって今度誕生日なんだよね？」,えみ,0,0,0,12,0,0,,,,,,,,,,
102,「そうだよ〜！」,犬山 桜児,0,0,0,12,0,0,,,,,,,,,,
103,「桜児くんいつもクラスで馴染めるように沢山声かけてくれて助かってるから、お近づきの印に誕プレ渡してもいい？」,えみ,0,0,0,12,0,0,,,,,,,,,,
104,「わ〜！嬉しい！ありがとー！誕プレ楽しみにしてるね！」,犬山 桜児,0,0,0,12,0,0,,,,,,,,,,
105,誕生日プレゼント、何にしよう？,えみ,0,0,0,12,0,0,,,,,,,,,,
106, , ,0,0,0,12,0,0,,,,,,,,,,
107,今日は桜児くんの誕生日。私なりにイ〇スタ映えしそうなスイーツを選んでみたけど喜んでくれるかな……？,えみ,0,0,0,0,0,0,,,,,,,,,,
108,「桜児くん誕生日おめでとう！いつも話しかけてくれてありがとう！お近づきの印に可愛いスイーツを選んでみたよ。」,えみ,4,0,0,0,0,0,,,,,,,,,,
